NodeID,ParentID,x,y,z,thickness
3469,3441,0.139184,0.913388,-0.41232,0.00632456
8430,8429,0.319722,0.873607,-0.265312,0.00282843
41,40,-0.349558,1.12341,0.00816743,0.0307896
8776,8702,-0.242133,1.05062,0.129198,0.00282843
20739,20738,-0.434424,0.991127,-0.0184354,0.002
946,915,-0.434551,1.01638,-0.120323,0.006
12654,12527,-0.402052,0.982566,0.0750571,0.00282843
163,158,-0.160478,1.12646,0.190561,0.0142829
5082,5030,-0.210637,1.10304,0.0681203,0.006
5413,5030,-0.210637,1.10304,0.0681203,0.0034641
6120,6048,-0.196526,1.06789,0.0402213,0.002
507,491,-0.212109,1.14572,-0.175831,0.00894427
14155,14024,-0.264681,1.10694,-0.0110679,0.002
5503,5457,-0.364916,1.03604,-0.18759,0.002
548,535,-0.0659645,1.12823,0.232826,0.0103923
1483,1465,-0.025548,1.08826,0.110053,0.00489898
13144,13143,0.0244037,1.07844,0.0704978,0.004
237,231,-0.314248,1.11745,-0.191898,0.0183303
1069,1041,-0.398216,1.0533,-0.169955,0.00632456
447,428,-0.474225,1.00409,-0.147894,0.00489898
533,515,-0.447803,0.96148,-0.183708,0.0118322
3531,515,-0.447803,0.96148,-0.183708,0.0034641
12524,12523,-0.457426,0.950094,-0.204251,0.002
784,757,-0.326071,1.00132,-0.0935123,0.006
2200,2186,-0.304942,0.929874,-0.0852945,0.0052915
477,460,-0.350455,1.03681,-0.0611445,0.00489898
554,534,-0.35055,1.02376,-0.089231,0.00748332
860,839,-0.487832,0.997246,-0.118799,0.006
514,499,-0.39336,0.913922,-0.290358,0.00938083
490,478,-0.188405,1.05867,-0.377486,0.0069282
5028,4965,-0.22298,1.0277,-0.329581,0.002
2102,2080,-0.076819,1.0433,-0.288244,0.00663325
1820,1797,-0.0458031,0.956666,-0.469998,0.0052915
14585,14584,-0.259606,1.05241,-0.163912,0.002
14439,14298,-0.447299,0.959987,-0.261246,0.002
171,164,-0.145021,0.972415,-0.514647,0.014
5415,5414,-0.16985,0.977564,-0.422419,0.00447214
733,714,-0.137791,0.864767,-0.580323,0.00632456
376,356,-0.0278973,0.953987,-0.492793,0.0185472
427,403,-0.368315,0.81599,-0.444622,0.008
269,256,-0.295374,0.934134,-0.453387,0.0109545
13035,256,-0.295374,0.934134,-0.453387,0.002
606,592,-0.372444,0.837176,-0.467264,0.00632456
370,352,-0.437799,0.682249,-0.281845,0.0103923
732,713,-0.41824,0.62886,-0.351095,0.0052915
884,861,-0.353545,0.768911,-0.192573,0.00282843
1006,981,-0.357085,0.823843,-0.36565,0.00824621
454,441,0.186355,0.890477,-0.526042,0.0134164
705,682,0.0742833,0.842512,-0.522727,0.00565685
2323,2304,0.113527,0.961011,-0.356593,0.00565685
3470,3469,0.143691,0.934171,-0.43348,0.00632456
8500,8430,0.340453,0.895226,-0.263635,0.00282843
42,41,-0.369438,1.14477,0.0151514,0.0307896
8777,8776,-0.236619,1.06212,0.156348,0.00282843
20980,20739,-0.462081,1.00224,-0.0150348,0.002
971,946,-0.454527,1.03861,-0.122975,0.006
12655,12654,-0.416786,1.0067,0.0850865,0.00282843
170,163,-0.162174,1.1563,0.193114,0.0142829
5083,5082,-0.22347,1.12565,0.0531428,0.006
5456,5413,-0.217893,1.12762,0.0837145,0.0034641
6121,6120,-0.20092,1.07744,0.0121238,0.002
526,507,-0.214686,1.17457,-0.183649,0.00894427
14156,14155,-0.273752,1.13137,0.00378158,0.002
